year,nr_recipes,ingredients_avrg,ingredients_std,calories_median,calories_std,serving_median,serving_std
1999,3469,7.964831363505333,3.754647616930321,373.8,1488.5837985162432,294.0,961.5997006922255
2000,1735,8.345244956772333,3.664269815658425,327.9,603.4006152780705,188.0,385.5397174205763
2001,7357,7.538126953921435,3.6519407823275425,308.1,837.402014906192,224.0,923.8720379703059
2002,31527,7.744504710248359,3.73361626602243,324.3,1014.976335518888,243.0,933.8687697186659
2003,28130,7.951724137931034,3.8544220611960682,338.25,1001.6282222797969,254.0,713.200091620541
2004,25678,8.071423008022432,3.861472686059963,335.2,976.080497213609,234.0,1230.910832495439
2005,39649,8.010845166334587,3.8937517742922565,329.4,783.3313926780063,220.0,740.759199577085
2006,49584,7.906461761858664,3.8770824521789287,322.8,2052.4624484393976,215.0,3986.0380823503033
2007,66812,7.855654672813267,3.922823321255477,315.4,2489.5968417601152,211.0,959.6999255809138
2008,65529,7.888064826260129,3.899837755353164,312.3,651.10487012629,207.0,6266.422317255537
2009,55102,8.097963776269465,3.9264142834583744,317.2,688.8071979108179,210.0,567.5182294311663
2010,35067,8.174066786437391,3.9003350180680534,315.2,749.131646948071,208.0,661.5067245650331
2011,23903,8.16889093419236,3.9542356684075353,320.6,753.8009421410734,221.0,690.9178671444992
2012,19953,8.416228136119882,4.127116509636979,322.6,594.4423567865501,224.0,615.6836395273504
2013,17446,8.28699988536054,4.2079235170391165,315.6,812.1548485623986,225.0,559.3898264183234
2014,8149,8.02478831758498,4.197957997061988,317.5,3924.9314959039248,221.0,1130.6618600931884
2015,4493,8.17427108835967,4.082316013956259,316.1,561.7827666130582,224.0,712.5796758880151
2016,4002,8.174412793603198,4.032740906345436,340.1,1151.020291764599,225.0,878.5059338249182
2017,4605,8.574592833876222,4.440298715735428,329.5,978.2155363164334,239.0,681.5300238935091
2018,2755,9.07622504537205,4.625086811113751,370.6,1207.3379958834696,241.0,945.9377500636504
2019,4,11.75,4.272001872658765,480.75,987.744545247741,265.5,169.25424662323837
